# decorative_cracks_coasts_animation - 336 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
 253  decorative_cracks_coasts_animation_253 | 208 80 16 16
 254  decorative_cracks_coasts_animation_254 | 224 80 16 16
 255  decorative_cracks_coasts_animation_255 | 240 80 16 16
 256  decorative_cracks_coasts_animation_256 | 0 64 16 16
 257  decorative_cracks_coasts_animation_257 | 16 64 16 16
 258  decorative_cracks_coasts_animation_258 | 32 64 16 16
 259  decorative_cracks_coasts_animation_259 | 48 64 16 16
 260  decorative_cracks_coasts_animation_260 | 64 64 16 16
 261  decorative_cracks_coasts_animation_261 | 80 64 16 16
 262  decorative_cracks_coasts_animation_262 | 96 64 16 16
 263  decorative_cracks_coasts_animation_263 | 112 64 16 16
 264  decorative_cracks_coasts_animation_264 | 128 64 16 16
 265  decorative_cracks_coasts_animation_265 | 144 64 16 16
 266  decorative_cracks_coasts_animation_266 | 160 64 16 16
 267  decorative_cracks_coasts_animation_267 | 176 64 16 16
 268  decorative_cracks_coasts_animation_268 | 192 64 16 16
 269  decorative_cracks_coasts_animation_269 | 208 64 16 16
 270  decorative_cracks_coasts_animation_270 | 224 64 16 16
 271  decorative_cracks_coasts_animation_271 | 240 64 16 16
 272  decorative_cracks_coasts_animation_272 | 0 48 16 16
 273  decorative_cracks_coasts_animation_273 | 16 48 16 16
 274  decorative_cracks_coasts_animation_274 | 32 48 16 16
 275  decorative_cracks_coasts_animation_275 | 48 48 16 16
 276  decorative_cracks_coasts_animation_276 | 64 48 16 16
 277  decorative_cracks_coasts_animation_277 | 80 48 16 16
 278  decorative_cracks_coasts_animation_278 | 96 48 16 16
 279  decorative_cracks_coasts_animation_279 | 112 48 16 16
 280  decorative_cracks_coasts_animation_280 | 128 48 16 16
 281  decorative_cracks_coasts_animation_281 | 144 48 16 16
 282  decorative_cracks_coasts_animation_282 | 160 48 16 16
 283  decorative_cracks_coasts_animation_283 | 176 48 16 16
 284  decorative_cracks_coasts_animation_284 | 192 48 16 16
 285  decorative_cracks_coasts_animation_285 | 208 48 16 16
 286  decorative_cracks_coasts_animation_286 | 224 48 16 16
 287  decorative_cracks_coasts_animation_287 | 240 48 16 16
 288  decorative_cracks_coasts_animation_288 | 0 32 16 16
 289  decorative_cracks_coasts_animation_289 | 16 32 16 16
 290  decorative_cracks_coasts_animation_290 | 32 32 16 16
 291  decorative_cracks_coasts_animation_291 | 48 32 16 16
 292  decorative_cracks_coasts_animation_292 | 64 32 16 16
 293  decorative_cracks_coasts_animation_293 | 80 32 16 16
